tag,attr,name
a,Anchor,Anchor
abbr,Global,Abbr
address,Global,Address
area,Area,Area
article,Global,Article
aside,Global,Aside
audio,Audio,Audio
b,Global,B
base,Base,Base
bdi,Global,BDI
bdo,Global,BDO
blockquote,BlockQuote,BlockQuote
body,Global,Body
br,Global,BR
button,Button,Button
canvas,Canvas,Canvas
caption,Caption,Caption
cite,Global,Cite
code,Global,Code
col,Col,Col
colgroup,ColGroup,ColGroup
datalist,Global,DataList
dd,Global,DD
del,Del,Del
details,Details,Details
dfn,Global,DFN
dialog,Global,Dialog
div,Global,Div
dl,Global,DL
dt,Global,DT
em,Global,EM
embed,Embed,Embed
fieldset,FieldSet,FieldSet
figcaption,Global,FigCaption
figure,Global,Figure
footer,Global,Footer
form,Form,Form
h1,Global,H1
h2,Global,H2
h3,Global,H3
h4,Global,H4
h5,Global,H5
h6,Global,H6
head,Global,Head
header,Global,Header
hr,HR,HR
html,HTML,HTML
i,Global,I
iframe,IFrame,IFrame
img,Image,Image
input,Input,Input
ins,Ins,Ins
kbd,Global,KBD
label,Label,Label
legend,Global,Legend
li,Global,LI
link,Link,Link
main,Global,Main
map,Map,Map
mark,Global,Mark
meta,Meta,Meta
meter,Meter,Meter
nav,Global,Nav
noscript,Global,NoScript
`object`,Object,Object
ol,OL,OL
optgroup,Global,OptGroup
option,Global,Option
output,Global,Output
p,Global,Paragraph
param,Global,Param
picture,Global,Picture
pre,Global,Pre
progress,Global,Progress
q,Global,Q
rp,Global,RP
rt,Global,RT
ruby,Global,Ruby
s,Global,S
samp,Global,Samp
script,Global,Script
section,Global,Section
select,Global,Select
small,Global,Small
source,Source,Source
span,Global,Span
strong,Global,Strong
style,Style,Style
sub,Global,Sub
summary,Global,Summary
sup,Global,Sup
table,Global,Table
tbody,Global,TBody
td,Global,TD
template,Global,Template
textarea,TextArea,TextArea
tfoot,Global,TFoot
th,Global,TH
thead,Global,THead
time,Global,Time
title,Global,Title
tr,Global,TR
track,Track,Track
u,Global,U
ul,Global,UL
`var`,Global,Var
video,Global,Video
wbr,Global,WBR
